Date,Price,Open,High,Low,Vol
2013-01-02,112.47,111.5,112.9,111.27,183140.0
2013-01-03,112.14,112.2,112.42,111.63,190290.0
2013-01-04,111.31,111.72,111.78,110.38,191330.0
2013-01-07,111.4,111.42,111.69,110.54,203500.0
2013-01-08,111.94,111.42,112.47,111.12,194000.0
2013-01-09,111.76,111.9,112.23,111.11,171950.0
2013-01-10,111.89,111.68,113.29,111.6,196970.0
2013-01-11,110.64,111.95,111.95,109.6,168070.0
2013-01-14,111.88,110.62,112.15,110.31,110230.0
2013-01-15,110.3,111.93,112.46,110.19,101260.0
2013-01-16,110.61,110.52,110.84,110.24,19710.0
2013-01-17,111.1,109.74,111.38,109.45,206290.0
2013-01-18,111.89,111.1,111.97,110.47,182510.0
2013-01-21,111.71,111.67,111.99,111.41,74580.0
2013-01-22,112.42,111.71,112.65,111.35,207850.0
2013-01-23,112.8,112.42,113.15,112.06,239710.0
2013-01-24,113.28,112.76,113.65,112.4,211580.0
2013-01-25,113.28,113.28,113.84,112.83,204350.0
2013-01-28,113.48,113.45,113.8,112.6,172160.0
2013-01-29,114.36,113.48,114.49,113.07,208910.0
2013-01-30,114.9,114.28,115.24,114.07,200610.0
2013-01-31,115.55,114.91,115.76,114.28,195490.0
2013-02-01,116.76,115.77,117.07,115.4,245850.0
2013-02-04,115.6,116.5,116.67,115.32,214960.0
2013-02-05,116.52,115.47,117.23,115.01,227100.0
2013-02-06,116.73,116.45,117.05,115.72,207780.0
2013-02-07,117.24,116.9,117.83,116.71,242300.0
2013-02-08,118.9,117.48,119.17,117.31,206480.0
2013-02-11,118.13,118.9,119.07,117.54,141280.0
2013-02-12,118.66,118.27,118.9,117.81,98000.0
2013-02-13,118.72,118.66,119.12,118.39,27820.0
2013-02-14,118.0,117.9,118.29,117.25,186860.0
2013-02-15,117.66,117.96,118.11,116.28,216480.0
2013-02-18,117.38,117.81,118.19,116.92,60360.0
2013-02-19,117.52,117.48,117.6,116.55,134900.0
2013-02-20,115.6,117.35,117.66,115.02,219240.0
